"","x"
"1",659
"2",237
"3",100
"4",73
"5",45
"6",24
"7",32
"8",23
"9",22
"10",6
"11",7
"12",8
"13",1
"14",2
"15",4
"16",3
"17",5
"18",5
"19",0
"20",1
"21",1
