"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"25",43,37,34,43,38,47,38,37,33,43,42,42,49,30,46,44,44,32,44,36,47,43,34,47,47,38,37,48,37,40,38,35,43,35,48,37,44,43,45,40,37,36,42,41,47,40,42,43,36,31,44,49,43,33,44,52,49,41,37,41,52,48,44,36,44,37,44,48,34,47,49,40,37,49,41,49,35,46,34,40,44,39,29,46,47,45,43,49,37,43,33,35,42,38,37,35,44,36,44,31
"26",11,15,11,17,10,10,7,8,16,13,5,9,10,13,14,11,15,14,11,15,9,13,12,9,7,13,11,6,11,6,8,10,16,10,9,9,16,8,6,9,11,8,11,6,12,12,4,15,7,12,9,8,10,15,8,14,4,11,12,11,15,10,9,9,14,12,8,5,13,14,9,10,13,12,6,18,11,10,13,14,8,13,18,6,11,6,8,7,13,9,10,16,17,15,5,5,13,14,7,12
"27",7,5,5,3,3,1,7,5,5,5,4,3,7,3,3,3,6,3,5,4,7,2,7,3,7,7,5,4,5,4,4,4,3,6,5,7,4,8,5,5,6,7,2,5,6,9,5,5,7,6,4,4,8,4,6,4,7,4,3,4,3,1,7,7,8,7,4,6,7,4,6,4,3,8,6,3,6,7,6,4,3,3,3,6,9,7,7,5,5,5,4,5,4,5,6,6,3,4,8,6
"28",1,0,4,3,4,6,6,5,3,2,3,6,3,1,2,5,4,1,2,1,1,2,3,4,2,2,4,3,3,3,5,2,1,3,0,5,6,5,1,4,5,2,5,5,3,0,5,3,5,1,6,3,2,1,1,3,1,4,3,1,3,3,2,5,1,1,3,3,2,3,3,4,0,4,5,2,2,1,1,6,3,1,1,2,0,3,2,3,4,5,3,3,1,2,6,2,1,6,4,1
"29",5,1,0,2,4,3,1,2,1,1,1,0,3,2,0,2,0,1,1,2,2,2,0,0,0,2,1,1,1,2,1,0,1,2,1,1,1,0,4,2,1,3,1,1,3,2,3,0,0,2,1,1,3,0,1,1,3,1,1,0,0,2,1,2,0,2,1,4,3,2,0,1,2,1,0,0,1,3,2,1,2,0,3,2,3,1,4,2,1,3,3,2,4,0,4,5,4,0,1,1
"30",0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,2,1,1,1,0,0,0,2,0,1,1,1,0,1,1,0,0,2,2,0,1,0,0,0,0,1,0,0,3,0,0,0,2,1,3,1,2,0,1,1,0,0,1,2,1,0,1,1,1,0,0,1,1,2,0,1,1,1,0,2,0,3,2,1,1,0,0,0,0,1,1,3,2,0,1,1,0,0,4
"31",0,1,1,0,0,0,2,0,0,1,1,0,0,0,2,0,1,0,0,2,0,0,0,1,0,1,0,2,1,1,2,2,0,0,1,1,0,0,0,1,0,0,0,1,0,2,1,3,2,1,1,0,0,0,1,0,1,1,1,1,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1
"32",1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,1,2,1,1,0,0,0,1,1,1,2,0,0,2,0,1,0,1,1,1,1,2,1,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0,1,2,0,1,1,1,0,0,1,0,0,0,1,0,1,1,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1
"33",0,0,1,0,0,1,0,1,0,0,1,1,0,3,1,1,0,0,0,0,1,0,0,1,0,1,2,1,1,2,1,0,1,0,1,1,1,1,1,0,0,2,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"34",0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
